
 CSD structure,CSD structure,[127:126]
 -,reserved,[125:120]
 TAAC,data read access-time-1,[119:112]
 NSAC,data read access-time-2 in CLK cycles (NSAC * 100),[111:104]
 TRAN\_SPEED,max. read data block length,[103:96]
 CCC,card command classes,[95:84]
 READ\_BL\_LEN,max. read data block length,[83:80]
 READ\_BL\_PARTIAL,partial blocks for read allowed,[79:79]
 WRITE\_BLK\_MISALIGN,write block misalignment,[78:78]
 READ\_BLK\_MISALIGN,read block misalignment,[77:77]
 DSR\_IMP,DSR implemented,[76:76]
 -,reserved,[75:74]
 C\_SIZE,device size,[73:62]
 VDD\_R\_CURR\_MIN,max.read current @ VDD min,[61:59]
 VDD\_R\_CURR\_MAX,max.read current @ VDD max,[58:56]
 VDD\_W\_CURR\_MIN,max.write current @ VDD min,[55:53]
 VDD\_W\_CURR\_MAX,max.write current @ VDD max,[52:50]
 C\_SIZE\_MULT,device size multiplier,[49:47]
 ERASE\_BLK\_EN,erase single block enable,[46:46]
 SECTOR\_SIZE,erase sector size,[45:39]
 WP\_GRP\_SIZE,write protect group size,[38:32]
 WP\_GRP\_ENABLE,write protect proup enable,[31:31]
 -,reserved,[30:29]
 R2W\_FACTOR,write speed factor,[28:26]
 WRITE\_BL\_LEN,max. write data block length,[25:22]
 WRITE\_BL\_PARTIAL,partial blocks for write allowed,[21:21]
 -,reserved,[20:16]
 FILE\_FORMAT\_GRP,file format group,[15:15]
 COPY,copy flag,[14:14]
 PERM\_WRITE\_PROTECT,premanet write protection,[13:13]
 TMP\_WRITE\_PROTECT,temporary write protection,[12:12]
 FILE\_FORMAT\_GRP,file format,[11:10]
 -,reserved,[9:8]
 CRC,crc,[7:1]
 -,not used always '1',[0:0]

